"var","logcalib1","logcalib2","logmixtevalue","logsoftevalue","anov.pvalue","yvar","hyp"
"TV",-0.225860506421587,0.360481976299794,-105.000931698734,-8.92008910098396,0.282989794061628,"Depressed (adolescent)","TVXDepressed (adolescent)"
"Electronic_games",1.46181274064385,0.682567403755118,-102.305283042529,-6.53069432736467,0.0105240078139749,"Depressed (adolescent)","Electronic_gamesXDepressed (adolescent)"
"Social_media",7.52362019180093,0.693143772511782,-94.7913069027634,0.826201765102073,3.40804235606294e-06,"Depressed (adolescent)","Social_mediaXDepressed (adolescent)"
"Other_internet",5.98177831753835,0.693125251141787,-96.5702930070574,-0.598398681438945,2.19291777100836e-05,"Depressed (adolescent)","Other_internetXDepressed (adolescent)"
"Own_computer",-0.00277693482359881,0.509871361295397,-104.62450828436,-8.80886259203377,0.16746150608913,"Depressed (adolescent)","Own_computerXDepressed (adolescent)"
"TV",0.539871248443628,0.63776653943728,-103.992401126732,-7.63566555672638,0.053875054657507,"Low self-esteem (adolescent)","TVXLow self-esteem (adolescent)"
"Electronic_games",-0.569143018179441,-0.500844201479324,-105.774873533982,-9.75868477014876,0.696990579149197,"Low self-esteem (adolescent)","Electronic_gamesXLow self-esteem (adolescent)"
"Social_media",2.75473268786776,0.691663209804728,-100.800794260512,-4.57312352667249,0.00148287021507379,"Low self-esteem (adolescent)","Social_mediaXLow self-esteem (adolescent)"
"Other_internet",10.5397923943701,0.693147078434961,-91.6840434193011,4.53424463697523,1.02124979113344e-07,"Low self-esteem (adolescent)","Other_internetXLow self-esteem (adolescent)"
"Own_computer",0.202332425847472,0.580151433546762,-104.550549511547,-8.39673271016806,0.106845541317924,"Low self-esteem (adolescent)","Own_computerXLow self-esteem (adolescent)"
"TV",0.216687040318676,0.583728992203819,-89.6073160757333,-8.79593654552927,0.103644506321095,"High total difficulties (parent)","TVXHigh total difficulties (parent)"
"Electronic_games",3.60705378838661,0.692690237759462,-84.789549969888,-3.69888195759876,0.000456838418021633,"High total difficulties (parent)","Electronic_gamesXHigh total difficulties (parent)"
"Social_media",2.09550736864457,0.689245630351068,-86.76528098624,-6.64565276761607,0.003893949050508,"High total difficulties (parent)","Social_mediaXHigh total difficulties (parent)"
"Other_internet",-0.592482044281154,-0.672481084548557,-90.8786052284702,-9.59890416407885,0.744779720389032,"High total difficulties (parent)","Other_internetXHigh total difficulties (parent)"
"Own_computer",-0.680251091983744,-2.58150585164427,-90.9304653982069,-9.90307157969492,0.962170007258329,"High total difficulties (parent)","Own_computerXHigh total difficulties (parent)"
"TV",-0.642429628234374,-1.27643817001294,-82.7753498556599,-9.47835129154212,0.860485306089057,"High emotional problems (parent)","TVXHigh emotional problems (parent)"
"Electronic_games",-0.456571744853559,-0.0225174993940419,-82.5749214867378,-11.9506304753586,0.511132936355566,"High emotional problems (parent)","Electronic_gamesXHigh emotional problems (parent)"
"Social_media",-0.224584087714026,0.36171205155849,-82.2123399499742,-8.99807616112386,0.28210727487584,"High emotional problems (parent)","Social_mediaXHigh emotional problems (parent)"
"Other_internet",1.37222141805483,0.680876536181205,-79.6496954686299,-6.57233122388855,0.0121956670088862,"High emotional problems (parent)","Other_internetXHigh emotional problems (parent)"
"Own_computer",0.0087394960640238,0.515022116908944,-81.8184594258828,-8.63709936675321,0.163162241041391,"High emotional problems (parent)","Own_computerXHigh emotional problems (parent)"
"TV",1.02222323748804,0.670755106256281,-90.1156565325432,-7.14042435863131,0.0221432326289402,"High conduct problems (parent)","TVXHigh conduct problems (parent)"
"Electronic_games",2.23430824489444,0.689980314059849,-88.3770873123744,-5.18253538469409,0.00316185726763331,"High conduct problems (parent)","Electronic_gamesXHigh conduct problems (parent)"
"Social_media",-0.626840466232161,-1.03427461098583,-92.7076721887852,-9.53661277591769,0.822257924140017,"High conduct problems (parent)","Social_mediaXHigh conduct problems (parent)"
"Other_internet",0.0552020279690812,0.534088701854608,-91.6816281774909,-8.69663147204628,0.147053521695106,"High conduct problems (parent)","Other_internetXHigh conduct problems (parent)"
"Own_computer",0.570363696079439,0.641024324041728,-90.8252747399661,-7.81290251634048,0.0507877572321734,"High conduct problems (parent)","Own_computerXHigh conduct problems (parent)"
"TV",-0.336128504414528,0.22661264075348,-87.0250345692591,-10.0407431513949,0.372828053941093,"High hyperactivity/inattention (parent)","TVXHigh hyperactivity/inattention (parent)"
"Electronic_games",0.0762699371432041,0.541912490870433,-86.3351065899683,-8.95647895406387,0.14035407505219,"High hyperactivity/inattention (parent)","Electronic_gamesXHigh hyperactivity/inattention (parent)"
"Social_media",-0.271198744818273,0.312609482824786,-86.9204782832592,-9.05734017091469,0.316506202677643,"High hyperactivity/inattention (parent)","Social_mediaXHigh hyperactivity/inattention (parent)"
"Other_internet",-0.260873860871195,0.324273062432555,-86.9035729953659,-9.71225618099326,0.308487546145775,"High hyperactivity/inattention (parent)","Other_internetXHigh hyperactivity/inattention (parent)"
"Own_computer",-0.215356443208491,0.370430681109774,-86.8283595348482,-9.94478951015981,0.275820869549744,"High hyperactivity/inattention (parent)","Own_computerXHigh hyperactivity/inattention (parent)"
"TV",-0.0262309924242697,0.498803804586473,-86.7495675158711,-8.67786684090802,0.176624871514126,"High peer problems (parent)","TVXHigh peer problems (parent)"
